Crash Number,City Town Name,Crash Date,Crash Severity,Age of Driver - Youngest Known,Age of Driver - Oldest Known,Light Conditions,Road Surface Condition,Weather Conditions,Latitude,Longitude
"5344892","BOSTON","01/02/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Dry","Clear","42.29371746","-71.14602864"
"5344897","BOSTON","01/01/2024","Non-fatal injury","21-24","25-34","Dark - lighted roadway","Dry","Clear","42.30314953","-71.05115091"
"5344898","BOSTON","01/01/2024","Property damage only (none injured)","21-24","21-24","Dark - lighted roadway","Dry","Clear","42.29993993","-71.04814060"
"5345103","BOSTON","01/07/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Snow","Snow","42.35751370","-71.13882588"
"5345115","BOSTON","01/02/2024","Property damage only (none injured)","18-20","35-44","Dawn","Dry","Clear","42.35776242","-71.15415840"
"5345678","BOSTON","01/02/2024","Property damage only (none injured)","25-34","35-44","Dawn","Dry","Clear","42.30866167","-71.12177897"
"5345792","BOSTON","01/07/2024","Property damage only (none injured)","25-34","25-34","Daylight","Snow","Snow","42.35692304","-71.11990602"
"5346150","BOSTON","01/08/2024","Property damage only (none injured)","55-64","55-64","Dark - lighted roadway","Ice","Clear","42.36583046","-71.02245623"
"5346192","BOSTON","01/01/2024","Property damage only (none injured)","21-24","21-24","Dark - lighted roadway","Dry","Clear","42.35840511","-71.15750830"
"5346710","BOSTON","01/08/2024","Property damage only (none injured)","25-34","45-54","Dark - lighted roadway","Slush","Clear","42.35877138","-71.15826164"
"5346721","BOSTON","01/02/2024","Property damage only (none injured)","35-44","45-54","Dark - lighted roadway","Dry","Clear","42.35707259","-71.05143497"
"5346731","BOSTON","01/07/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Wet","Rain","",""
"5346734","BOSTON","01/06/2024","Property damage only (none injured)","21-24","35-44","Dark - lighted roadway","Dry","Clear","42.29325030","-71.04769181"
"5346738","BOSTON","01/01/2024","Property damage only (none injured)","21-24","21-24","Dark - lighted roadway","Dry","Clear","",""
"5346740","BOSTON","01/05/2024","Property damage only (none injured)","25-34","55-64","Daylight","Dry","Clear","42.35712099","-71.07302062"
"5346742","BOSTON","01/10/2024","Non-fatal injury","21-24","25-34","Dark - lighted roadway","Wet","Rain","42.34382264","-71.06109748"
"5346744","BOSTON","01/05/2024","Property damage only (none injured)","35-44","45-54","Dawn","Dry","Clear","42.35606914","-71.07375732"
"5346746","BOSTON","01/06/2024","Non-fatal injury","21-24","21-24","Dark - lighted roadway","Dry","Clear","42.34593983","-71.06125388"
"5347072","BOSTON","01/05/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Dry","Clear","42.35608242","-71.07373658"
"5347122","BOSTON","01/11/2024","Non-fatal injury","","","Daylight","Not reported","Clear","42.38626305","-71.07312433"
"5347137","BOSTON","01/04/2024","Property damage only (none injured)","35-44","35-44","Daylight","Not reported","Clear","42.38257324","-71.03046163"
"5347189","BOSTON","01/11/2024","Property damage only (none injured)","18-20","25-34","Daylight","Dry","Clear","42.31103639","-71.08315993"
"5347246","BOSTON","01/03/2024","Property damage only (none injured)","35-44","55-64","Daylight","Dry","Clear","42.23522732","-71.12486864"
"5347248","BOSTON","01/11/2024","Property damage only (none injured)","35-44","45-54","Daylight","Dry","Clear","42.23518824","-71.12504932"
"5347259","BOSTON","01/05/2024","Non-fatal injury","75-84","75-84","Daylight","Dry","Clear","42.28423653","-71.09138159"
"5347280","BOSTON","01/11/2024","Non-fatal injury","55-64","55-64","Dawn","Dry","Clear","42.27495567","-71.06733513"
"5347291","BOSTON","01/12/2024","Non-fatal injury","25-34","65-74","Dark - lighted roadway","Dry","Clear","42.29993703","-71.07229850"
"5347615","BOSTON","01/12/2024","Property damage only (none injured)","75-84","75-84","Not reported","Not reported","Not Reported","42.29675156","-71.06744459"
"5347633","BOSTON","01/10/2024","Non-fatal injury","35-44","35-44","Dusk","Not reported","Rain","42.32202525","-71.06139896"
"5347635","BOSTON","01/12/2024","Non-fatal injury","65-74","75-84","Daylight","Dry","Clear","42.30837977","-71.06473292"
"5347674","BOSTON","01/12/2024","Unknown","35-44","45-54","Not reported","Not reported","Not Reported","42.30278057","-71.07150828"
"5347692","BOSTON","01/12/2024","Non-fatal injury","25-34","45-54","Daylight","Dry","Clear","42.30412136","-71.05493788"
"5347729","BOSTON","01/12/2024","Property damage only (none injured)","35-44","35-44","Dark - lighted roadway","Not reported","Clear","42.30432796","-71.07675393"
"5347775","BOSTON","01/11/2024","Non-fatal injury","35-44","55-64","Dark - lighted roadway","Dry","Clear","42.32414568","-71.05560459"
"5347788","BOSTON","01/05/2024","Property damage only (none injured)","45-54","55-64","Dark - lighted roadway","Dry","Clear","",""
"5347799","BOSTON","01/07/2024","Unknown","18-20","18-20","Daylight","Snow","Snow/Sleet, hail (freezing rain or drizzle)","42.28779490","-71.13406324"
"5347812","BOSTON","01/13/2024","Property damage only (none injured)","25-34","25-34","Not reported","Not reported","Not Reported","42.30348420","-71.08503271"
"5347816","BOSTON","01/13/2024","Property damage only (none injured)","","","Dark - lighted roadway","Wet","Rain","42.38345830","-71.01803407"
"5347822","BOSTON","01/12/2024","Non-fatal injury","25-34","35-44","Daylight","Dry","Clear","42.29847556","-71.08374289"
"5347830","BOSTON","01/13/2024","Property damage only (none injured)","35-44","55-64","Daylight","Wet","Rain/Cloudy","42.36169371","-71.05730042"
"5347831","BOSTON","01/13/2024","Non-fatal injury","55-64","55-64","Not reported","Not reported","Not Reported","42.38172986","-71.02266255"
"5347833","BOSTON","01/12/2024","Non-fatal injury","45-54","45-54","Daylight","Not reported","Clear","42.29749798","-71.08963513"
"5347835","BOSTON","01/13/2024","Property damage only (none injured)","25-34","25-34","Dawn","Wet","Cloudy","42.31648000","-71.11376178"
"5347845","BOSTON","01/11/2024","Non-fatal injury","25-34","25-34","Dark - lighted roadway","Dry","Clear","",""
"5347868","BOSTON","01/10/2024","Property damage only (none injured)","18-20","35-44","Dark - lighted roadway","Dry","Clear","42.36254387","-71.14522260"
"5347869","BOSTON","01/03/2024","Property damage only (none injured)","21-24","55-64","Daylight","Dry","Clear","42.34272139","-71.10326132"
"5347877","BOSTON","01/11/2024","Property damage only (none injured)","18-20","55-64","Daylight","Dry","Clear","42.35810497","-71.15041177"
"5347895","BOSTON","01/14/2024","Property damage only (none injured)","","","Dark - lighted roadway","Dry","Clear","42.38339109","-71.01822012"
"5347898","BOSTON","01/14/2024","Unknown","21-24","21-24","Not reported","Not reported","Not Reported","42.30553922","-71.07075351"
"5347913","BOSTON","01/14/2024","Property damage only (none injured)","","","Dawn","Dry","Clear","42.30925751","-71.08026782"
"5347917","BOSTON","01/14/2024","Non-fatal injury","25-34","25-34","Daylight","Dry","Clear","42.32953659","-71.06914652"
"5347955","BOSTON","01/05/2024","Property damage only (none injured)","65-74","65-74","Daylight","Dry","Clear","42.28118250","-71.08634362"
"5347956","BOSTON","01/14/2024","Property damage only (none injured)","25-34","35-44","Dark - lighted roadway","Wet","Sleet, hail (freezing rain or drizzle)","",""
"5347957","BOSTON","01/15/2024","Non-fatal injury","35-44","35-44","Dark - lighted roadway","Not reported","Clear","",""
"5347958","BOSTON","01/15/2024","Property damage only (none injured)","35-44","35-44","Dark - unknown roadway lighting","Dry","Clear","42.37491980","-71.03909174"
"5347992","BOSTON","01/15/2024","Property damage only (none injured)","21-24","21-24","Dark - lighted roadway","Ice","Clear","42.28517393","-71.09693353"
"5348013","BOSTON","01/15/2024","Property damage only (none injured)","55-64","55-64","Dark - lighted roadway","Dry","Clear","42.29747441","-71.06096200"
"5348055","BOSTON","01/15/2024","Property damage only (none injured)","35-44","75-84","Not reported","Not reported","Not Reported","42.39462721","-71.01052436"
"5348091","BOSTON","01/06/2024","Property damage only (none injured)","18-20",">84","Daylight","Dry","Clear","",""
"5348092","BOSTON","01/08/2024","Property damage only (none injured)","65-74","65-74","Daylight","Dry","Clear","42.29066377","-71.16828110"
"5348095","BOSTON","01/13/2024","Property damage only (none injured)","25-34","45-54","Dark - lighted roadway","Dry","Clear","42.32414568","-71.05560459"
"5348099","BOSTON","01/14/2024","Property damage only (none injured)","21-24","25-34","Dark - lighted roadway","Snow","Snow","42.31787496","-71.05149366"
"5348102","BOSTON","01/09/2024","Non-fatal injury","21-24","21-24","Dusk","Dry","Clear","42.34179072","-71.14877944"
"5348103","BOSTON","01/09/2024","Non-fatal injury","25-34","25-34","Dark - lighted roadway","Wet","Rain","",""
"5348104","BOSTON","01/13/2024","Property damage only (none injured)","25-34","45-54","Dark - lighted roadway","Dry","Clear","",""
"5348152","BOSTON","01/13/2024","Property damage only (none injured)","25-34","55-64","Dark - lighted roadway","Wet","Rain","42.36112943","-71.06600515"
"5348199","BOSTON","01/14/2024","Property damage only (none injured)","35-44","55-64","Dawn","Not reported","Clear","",""
"5348208","BOSTON","01/12/2024","Property damage only (none injured)","25-34","45-54","Not reported","Not reported","Not Reported","42.38391583","-71.02266407"
"5348966","BOSTON","01/08/2024","Property damage only (none injured)","35-44","35-44","Other","Wet","Clear","",""
"5348968","BOSTON","01/07/2024","Property damage only (none injured)","18-20","18-20","Dark - lighted roadway","Snow","Snow","",""
"5348971","BOSTON","01/10/2024","Property damage only (none injured)","35-44","65-74","Dark - lighted roadway","Wet","Cloudy","",""
"5348975","BOSTON","01/13/2024","Non-fatal injury","25-34","55-64","Dark - lighted roadway","Dry","Clear","42.35809883","-71.05137725"
"5348976","BOSTON","01/08/2024","Property damage only (none injured)","35-44","35-44","Daylight","Wet","Clear","",""
"5348978","BOSTON","01/10/2024","Property damage only (none injured)","25-34","35-44","Daylight","Wet","Cloudy","42.34669124","-71.06284127"
"5348981","BOSTON","01/09/2024","Property damage only (none injured)","35-44","45-54","Dark - lighted roadway","Dry","Cloudy","",""
"5348982","BOSTON","01/16/2024","Property damage only (none injured)","21-24","21-24","Dark - lighted roadway","Snow","Snow","42.35778720","-71.15821053"
"5348983","BOSTON","01/13/2024","Non-fatal injury","21-24","45-54","Daylight","Water (standing, moving)","Rain","",""
"5348984","BOSTON","01/07/2024","Non-fatal injury","25-34","25-34","Daylight","Slush","Snow","42.37187446","-71.06706385"
"5348991","BOSTON","01/04/2024","Property damage only (none injured)","25-34","25-34","Daylight","Dry","Cloudy","",""
"5348993","BOSTON","01/07/2024","Property damage only (none injured)","25-34","45-54","Daylight","Snow","Snow","42.37187446","-71.06706385"
"5348999","BOSTON","01/02/2024","Property damage only (none injured)","21-24","55-64","Daylight","Dry","Clear","42.37187446","-71.06706385"
"5349000","BOSTON","01/02/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Dry","Clear","",""
"5349001","BOSTON","01/08/2024","Non-fatal injury","25-34","35-44","Daylight","Dry","Clear","",""
"5349002","BOSTON","01/14/2024","Property damage only (none injured)","21-24","21-24","Dark - lighted roadway","Dry","Clear","",""
"5349003","BOSTON","01/13/2024","Property damage only (none injured)","45-54","45-54","Daylight","Wet","Rain","42.36405765","-71.05808411"
"5349004","BOSTON","01/14/2024","Property damage only (none injured)","35-44","45-54","Daylight","Dry","Clear","",""
"5349031","BOSTON","01/17/2024","Property damage only (none injured)","25-34","35-44","Dark - lighted roadway","Other","Clear","42.35262129","-71.05539206"
"5349081","BOSTON","01/16/2024","Property damage only (none injured)","35-44","35-44","Daylight","Wet","Snow/Rain","42.25423717","-71.12880150"
"5349566","BOSTON","01/17/2024","Property damage only (none injured)","25-34","65-74","Daylight","Unknown","Clear","42.29854856","-71.08670429"
"5349726","BOSTON","01/17/2024","Property damage only (none injured)","25-34","35-44","Daylight","Ice","Clear","42.30868768","-71.08294098"
"5349728","BOSTON","01/16/2024","Property damage only (none injured)","25-34","25-34","Dusk","Snow","Rain/Snow","",""
"5349740","BOSTON","01/17/2024","Property damage only (none injured)","21-24","25-34","Daylight","Ice","Clear","42.28233616","-71.09963182"
"5349779","BOSTON","01/17/2024","Non-fatal injury","25-34","25-34","Daylight","Not reported","Clear","42.32113168","-71.05586707"
"5349781","BOSTON","01/17/2024","Non-fatal injury","21-24","45-54","Daylight","Ice","Clear","42.31025641","-71.08201168"
"5349784","BOSTON","01/17/2024","Non-fatal injury","25-34","25-34","Not reported","Not reported","Not Reported","42.30537017","-71.06150371"
"5349787","BOSTON","01/17/2024","Property damage only (none injured)","21-24","21-24","Daylight","Other","Other","42.30398483","-71.07019340"
"5349864","BOSTON","01/16/2024","Non-fatal injury","","","Not reported","Not reported","Not Reported","42.29021778","-71.07163389"
"5349865","BOSTON","01/17/2024","Property damage only (none injured)","35-44","35-44","Not reported","Not reported","Not Reported","42.30296934","-71.07823200"
"5350062","BOSTON","01/03/2024","Property damage only (none injured)","35-44","45-54","Dark - lighted roadway","Dry","Clear","42.37262933","-71.13115173"
"5350078","BOSTON","01/12/2024","Property damage only (none injured)","35-44","55-64","Dark - lighted roadway","Dry","Clear","42.27937555","-71.08101012"
"5350081","BOSTON","01/10/2024","Property damage only (none injured)","65-74","65-74","Dark - roadway not lighted","Water (standing, moving)","Rain","42.31908950","-71.12456843"
"5350085","BOSTON","01/13/2024","Non-fatal injury","25-34","55-64","Dark - lighted roadway","Dry","Clear","",""
"5350086","BOSTON","01/13/2024","Property damage only (none injured)","18-20","21-24","Daylight","Dry","Clear","42.36098471","-71.11744042"
"5350089","BOSTON","01/10/2024","Non-fatal injury","55-64","55-64","Dawn","Dry","Clear","42.29810032","-71.12990040"
"5350091","BOSTON","01/15/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Dry","Clear","42.36474098","-71.13540306"
"5350100","BOSTON","01/13/2024","Property damage only (none injured)","21-24","25-34","Daylight","Dry","Clear","42.29627900","-71.14588986"
"5350107","BOSTON","01/16/2024","Property damage only (none injured)","25-34","25-34","Daylight","Snow","Snow/Sleet, hail (freezing rain or drizzle)","42.30020196","-71.10801237"
"5350129","BOSTON","01/06/2024","Property damage only (none injured)","25-34","25-34","Daylight","Dry","Clear","42.30134719","-71.11251144"
"5350130","BOSTON","01/12/2024","Property damage only (none injured)","21-24","45-54","Dark - lighted roadway","Dry","Clear","42.28496122","-71.09280959"
"5350135","BOSTON","01/17/2024","Property damage only (none injured)","<16","<16","Dark - lighted roadway","Ice","Other/Snow","42.39304109","-71.00692374"
"5350790","BOSTON","01/18/2024","Property damage only (none injured)","35-44","35-44","Not reported","Not reported","Not Reported","42.38914639","-71.01062160"
"5350797","BOSTON","01/18/2024","Non-fatal injury","21-24","25-34","Not reported","Not reported","Not Reported","42.32248097","-71.08485357"
"5350799","BOSTON","01/18/2024","Non-fatal injury","21-24","55-64","Dark - lighted roadway","Ice","Clear","42.32815380","-71.09699524"
"5350802","BOSTON","01/14/2024","Property damage only (none injured)","25-34","25-34","Dark - lighted roadway","Dry","Clear","42.30648731","-71.10746421"
"5350814","BOSTON","01/18/2024","Property damage only (none injured)","21-24","21-24","Daylight","Dry","Clear","42.28620932","-71.12588866"
"5350898","BOSTON","01/05/2024","Property damage only (none injured)","25-34","65-74","Daylight","Dry","Clear","",""
"5350910","BOSTON","01/04/2024","Property damage only (none injured)","55-64","65-74","Dark - lighted roadway","Dry","Clear","42.36494159","-71.02161835"
"5350913","BOSTON","01/09/2024","Property damage only (none injured)","45-54","45-54","Daylight","Dry","Clear","42.34152976","-71.09200560"
"5350920","BOSTON","01/16/2024","Property damage only (none injured)","25-34","25-34","Daylight","Slush","Snow/Sleet, hail (freezing rain or drizzle)","42.35778720","-71.15821053"
